-----------------------------------------------------------------------
-                              PREDICTIONS                            -
-----------------------------------------------------------------------
|   INSTANTZIA ZENB    |    REAL     |   PREDICTED   |    ERROR (*)   |
|         311          |     NaN     |       1       |       *        |
|         312          |     NaN     |       0       |       *        |
|         313          |     NaN     |       1       |       *        |
|         314          |     NaN     |       1       |       *        |
|         315          |     NaN     |       1       |       *        |
|         316          |     NaN     |       1       |       *        |
|         317          |     NaN     |       1       |       *        |
|         318          |     NaN     |       0       |       *        |
|         319          |     NaN     |       1       |       *        |
|         320          |     NaN     |       0       |       *        |
|         321          |     NaN     |       1       |       *        |
|         322          |     NaN     |       1       |       *        |
|         323          |     NaN     |       1       |       *        |
|         324          |     NaN     |       1       |       *        |
|         325          |     NaN     |       1       |       *        |
|         326          |     NaN     |       1       |       *        |
|         327          |     NaN     |       1       |       *        |
|         328          |     NaN     |       0       |       *        |
|         329          |     NaN     |       1       |       *        |
|         330          |     NaN     |       1       |       *        |
|         331          |     NaN     |       1       |       *        |
|         332          |     NaN     |       1       |       *        |
|         333          |     NaN     |       1       |       *        |
|         334          |     NaN     |       1       |       *        |
|         335          |     NaN     |       1       |       *        |
|         336          |     NaN     |       1       |       *        |
|         337          |     NaN     |       1       |       *        |
|         338          |     NaN     |       1       |       *        |
|         339          |     NaN     |       1       |       *        |
|         340          |     NaN     |       0       |       *        |
|         341          |     NaN     |       1       |       *        |
|         342          |     NaN     |       1       |       *        |
|         343          |     NaN     |       1       |       *        |
|         344          |     NaN     |       1       |       *        |
|         345          |     NaN     |       0       |       *        |
|         346          |     NaN     |       1       |       *        |
|         347          |     NaN     |       1       |       *        |
|         348          |     NaN     |       1       |       *        |
|         349          |     NaN     |       1       |       *        |
|         350          |     NaN     |       1       |       *        |
|         351          |     NaN     |       1       |       *        |
|         352          |     NaN     |       1       |       *        |
|         353          |     NaN     |       1       |       *        |
|         354          |     NaN     |       1       |       *        |
|         355          |     NaN     |       1       |       *        |
|         356          |     NaN     |       1       |       *        |
|         357          |     NaN     |       1       |       *        |
|         358          |     NaN     |       1       |       *        |
|         359          |     NaN     |       1       |       *        |
|         360          |     NaN     |       1       |       *        |
|         361          |     NaN     |       1       |       *        |
|         362          |     NaN     |       0       |       *        |
|         363          |     NaN     |       1       |       *        |
|         364          |     NaN     |       1       |       *        |
|         365          |     NaN     |       1       |       *        |
|         366          |     NaN     |       1       |       *        |
|         367          |     NaN     |       0       |       *        |
|         368          |     NaN     |       0       |       *        |
|         369          |     NaN     |       1       |       *        |
|         370          |     NaN     |       1       |       *        |
|         371          |     NaN     |       1       |       *        |
|         372          |     NaN     |       1       |       *        |
|         373          |     NaN     |       1       |       *        |
|         374          |     NaN     |       1       |       *        |
|         375          |     NaN     |       1       |       *        |
|         376          |     NaN     |       1       |       *        |
|         377          |     NaN     |       0       |       *        |
|         378          |     NaN     |       0       |       *        |
|         379          |     NaN     |       0       |       *        |
|         380          |     NaN     |       1       |       *        |
|         381          |     NaN     |       1       |       *        |
|         382          |     NaN     |       1       |       *        |
|         383          |     NaN     |       1       |       *        |
|         384          |     NaN     |       0       |       *        |
|         385          |     NaN     |       1       |       *        |
|         386          |     NaN     |       1       |       *        |
|         387          |     NaN     |       1       |       *        |
|         388          |     NaN     |       1       |       *        |
|         389          |     NaN     |       1       |       *        |
|         390          |     NaN     |       1       |       *        |
|         391          |     NaN     |       1       |       *        |
|         392          |     NaN     |       1       |       *        |
|         393          |     NaN     |       1       |       *        |
|         394          |     NaN     |       1       |       *        |
|         395          |     NaN     |       1       |       *        |
|         396          |     NaN     |       1       |       *        |
|         397          |     NaN     |       1       |       *        |
|         398          |     NaN     |       1       |       *        |
|         399          |     NaN     |       1       |       *        |
|         400          |     NaN     |       1       |       *        |
|         401          |     NaN     |       1       |       *        |
|         402          |     NaN     |       1       |       *        |
|         403          |     NaN     |       1       |       *        |
|         404          |     NaN     |       0       |       *        |
|         405          |     NaN     |       1       |       *        |
|         406          |     NaN     |       1       |       *        |
|         407          |     NaN     |       1       |       *        |
|         408          |     NaN     |       1       |       *        |
|         409          |     NaN     |       0       |       *        |
|         410          |     NaN     |       1       |       *        |
|         411          |     NaN     |       0       |       *        |
|         412          |     NaN     |       0       |       *        |
|         413          |     NaN     |       1       |       *        |
|         414          |     NaN     |       1       |       *        |
|         415          |     NaN     |       0       |       *        |
|         416          |     NaN     |       1       |       *        |
|         417          |     NaN     |       1       |       *        |
|         418          |     NaN     |       1       |       *        |
|         419          |     NaN     |       1       |       *        |
|         420          |     NaN     |       1       |       *        |
|         421          |     NaN     |       1       |       *        |
|         422          |     NaN     |       1       |       *        |
|         423          |     NaN     |       1       |       *        |
|         424          |     NaN     |       1       |       *        |
|         425          |     NaN     |       1       |       *        |
|         426          |     NaN     |       1       |       *        |
|         427          |     NaN     |       1       |       *        |
|         428          |     NaN     |       1       |       *        |
|         429          |     NaN     |       1       |       *        |
|         430          |     NaN     |       1       |       *        |
|         431          |     NaN     |       1       |       *        |
|         432          |     NaN     |       1       |       *        |
|         433          |     NaN     |       1       |       *        |
|         434          |     NaN     |       1       |       *        |
|         435          |     NaN     |       1       |       *        |
|         436          |     NaN     |       1       |       *        |
|         437          |     NaN     |       1       |       *        |
|         438          |     NaN     |       1       |       *        |
|         439          |     NaN     |       1       |       *        |
|         440          |     NaN     |       1       |       *        |
|         441          |     NaN     |       1       |       *        |
|         442          |     NaN     |       1       |       *        |
|         443          |     NaN     |       1       |       *        |
|         444          |     NaN     |       0       |       *        |
|         445          |     NaN     |       1       |       *        |
|         446          |     NaN     |       0       |       *        |
|         447          |     NaN     |       1       |       *        |
|         448          |     NaN     |       1       |       *        |
|         449          |     NaN     |       1       |       *        |
|         450          |     NaN     |       1       |       *        |
|         451          |     NaN     |       1       |       *        |
|         452          |     NaN     |       1       |       *        |
|         453          |     NaN     |       1       |       *        |
|         454          |     NaN     |       1       |       *        |
|         455          |     NaN     |       1       |       *        |
|         456          |     NaN     |       1       |       *        |
|         457          |     NaN     |       1       |       *        |
|         458          |     NaN     |       0       |       *        |
|         459          |     NaN     |       1       |       *        |
|         460          |     NaN     |       1       |       *        |
|         461          |     NaN     |       1       |       *        |
|         462          |     NaN     |       1       |       *        |
|         463          |     NaN     |       1       |       *        |
|         464          |     NaN     |       1       |       *        |
|         465          |     NaN     |       1       |       *        |
|         466          |     NaN     |       1       |       *        |
|         467          |     NaN     |       1       |       *        |
|         468          |     NaN     |       1       |       *        |
|         469          |     NaN     |       0       |       *        |
|         470          |     NaN     |       1       |       *        |
|         471          |     NaN     |       1       |       *        |
|         472          |     NaN     |       1       |       *        |
|         473          |     NaN     |       1       |       *        |
|         474          |     NaN     |       1       |       *        |
|         475          |     NaN     |       1       |       *        |
|         476          |     NaN     |       1       |       *        |
|         477          |     NaN     |       1       |       *        |
|         478          |     NaN     |       1       |       *        |
|         479          |     NaN     |       1       |       *        |
|         480          |     NaN     |       1       |       *        |
|         481          |     NaN     |       0       |       *        |
|         482          |     NaN     |       1       |       *        |
|         483          |     NaN     |       1       |       *        |
|         484          |     NaN     |       1       |       *        |
|         485          |     NaN     |       1       |       *        |
|         486          |     NaN     |       1       |       *        |
|         487          |     NaN     |       1       |       *        |
|         488          |     NaN     |       1       |       *        |
|         489          |     NaN     |       1       |       *        |
|         490          |     NaN     |       1       |       *        |
|         491          |     NaN     |       0       |       *        |
|         492          |     NaN     |       1       |       *        |
|         493          |     NaN     |       1       |       *        |
|         494          |     NaN     |       1       |       *        |
|         495          |     NaN     |       1       |       *        |
|         496          |     NaN     |       1       |       *        |
|         497          |     NaN     |       1       |       *        |
|         498          |     NaN     |       1       |       *        |
|         499          |     NaN     |       1       |       *        |
|         500          |     NaN     |       1       |       *        |
|         501          |     NaN     |       1       |       *        |
|         502          |     NaN     |       1       |       *        |
|         503          |     NaN     |       1       |       *        |
|         504          |     NaN     |       1       |       *        |
|         505          |     NaN     |       1       |       *        |
|         506          |     NaN     |       1       |       *        |
|         507          |     NaN     |       1       |       *        |
|         508          |     NaN     |       1       |       *        |
|         509          |     NaN     |       1       |       *        |
|         510          |     NaN     |       1       |       *        |
|         511          |     NaN     |       1       |       *        |
|         512          |     NaN     |       1       |       *        |
|         513          |     NaN     |       1       |       *        |
|         514          |     NaN     |       0       |       *        |
|         515          |     NaN     |       1       |       *        |
|         516          |     NaN     |       1       |       *        |
|         517          |     NaN     |       1       |       *        |
|         518          |     NaN     |       1       |       *        |
|         519          |     NaN     |       0       |       *        |
|         520          |     NaN     |       1       |       *        |
|         521          |     NaN     |       1       |       *        |
|         522          |     NaN     |       1       |       *        |
|         523          |     NaN     |       1       |       *        |
|         524          |     NaN     |       1       |       *        |
|         525          |     NaN     |       1       |       *        |
|         526          |     NaN     |       1       |       *        |
|         527          |     NaN     |       1       |       *        |
|         528          |     NaN     |       1       |       *        |
|         529          |     NaN     |       1       |       *        |
|         530          |     NaN     |       1       |       *        |
|         531          |     NaN     |       0       |       *        |
|         532          |     NaN     |       1       |       *        |
|         533          |     NaN     |       1       |       *        |
|         534          |     NaN     |       1       |       *        |
|         535          |     NaN     |       1       |       *        |
|         536          |     NaN     |       1       |       *        |
|         537          |     NaN     |       1       |       *        |
|         538          |     NaN     |       1       |       *        |
|         539          |     NaN     |       1       |       *        |
|         540          |     NaN     |       1       |       *        |
|         541          |     NaN     |       1       |       *        |
|         542          |     NaN     |       1       |       *        |
|         543          |     NaN     |       1       |       *        |
|         544          |     NaN     |       1       |       *        |
|         545          |     NaN     |       0       |       *        |
|         546          |     NaN     |       1       |       *        |
|         547          |     NaN     |       1       |       *        |
|         548          |     NaN     |       1       |       *        |
|         549          |     NaN     |       1       |       *        |
|         550          |     NaN     |       1       |       *        |
|         551          |     NaN     |       1       |       *        |
|         552          |     NaN     |       1       |       *        |
|         553          |     NaN     |       1       |       *        |
|         554          |     NaN     |       1       |       *        |
|         555          |     NaN     |       1       |       *        |
|         556          |     NaN     |       1       |       *        |
|         557          |     NaN     |       0       |       *        |
|         558          |     NaN     |       1       |       *        |
|         559          |     NaN     |       1       |       *        |
|         560          |     NaN     |       1       |       *        |
|         561          |     NaN     |       1       |       *        |
|         562          |     NaN     |       1       |       *        |
|         563          |     NaN     |       1       |       *        |
|         564          |     NaN     |       0       |       *        |
|         565          |     NaN     |       1       |       *        |
|         566          |     NaN     |       1       |       *        |
|         567          |     NaN     |       0       |       *        |
|         568          |     NaN     |       1       |       *        |
|         569          |     NaN     |       1       |       *        |
|         570          |     NaN     |       1       |       *        |
|         571          |     NaN     |       0       |       *        |
|         572          |     NaN     |       1       |       *        |
|         573          |     NaN     |       1       |       *        |
|         574          |     NaN     |       1       |       *        |
|         575          |     NaN     |       1       |       *        |
|         576          |     NaN     |       1       |       *        |
|         577          |     NaN     |       1       |       *        |
|         578          |     NaN     |       1       |       *        |
|         579          |     NaN     |       0       |       *        |
|         580          |     NaN     |       1       |       *        |
|         581          |     NaN     |       1       |       *        |
|         582          |     NaN     |       1       |       *        |
|         583          |     NaN     |       1       |       *        |
|         584          |     NaN     |       1       |       *        |
|         585          |     NaN     |       1       |       *        |
|         586          |     NaN     |       1       |       *        |
|         587          |     NaN     |       1       |       *        |
|         588          |     NaN     |       1       |       *        |
|         589          |     NaN     |       1       |       *        |
|         590          |     NaN     |       1       |       *        |
|         591          |     NaN     |       1       |       *        |
|         592          |     NaN     |       1       |       *        |
|         593          |     NaN     |       1       |       *        |
|         594          |     NaN     |       1       |       *        |
|         595          |     NaN     |       1       |       *        |
|         596          |     NaN     |       1       |       *        |
|         597          |     NaN     |       1       |       *        |
|         598          |     NaN     |       1       |       *        |
|         599          |     NaN     |       1       |       *        |
|         600          |     NaN     |       1       |       *        |
|         601          |     NaN     |       0       |       *        |
|         602          |     NaN     |       1       |       *        |
|         603          |     NaN     |       1       |       *        |
|         604          |     NaN     |       1       |       *        |
|         605          |     NaN     |       1       |       *        |
|         606          |     NaN     |       1       |       *        |
|         607          |     NaN     |       1       |       *        |
|         608          |     NaN     |       0       |       *        |
|         609          |     NaN     |       1       |       *        |
|         610          |     NaN     |       1       |       *        |
|         611          |     NaN     |       1       |       *        |
|         612          |     NaN     |       1       |       *        |
|         613          |     NaN     |       1       |       *        |
|         614          |     NaN     |       1       |       *        |
|         615          |     NaN     |       1       |       *        |
|         616          |     NaN     |       1       |       *        |
|         617          |     NaN     |       1       |       *        |
|         618          |     NaN     |       1       |       *        |
|         619          |     NaN     |       1       |       *        |
|         620          |     NaN     |       0       |       *        |
|         621          |     NaN     |       1       |       *        |
|         622          |     NaN     |       1       |       *        |
|         623          |     NaN     |       1       |       *        |
|         624          |     NaN     |       1       |       *        |
|         625          |     NaN     |       1       |       *        |
|         626          |     NaN     |       1       |       *        |
|         627          |     NaN     |       0       |       *        |
|         628          |     NaN     |       1       |       *        |
|         629          |     NaN     |       1       |       *        |
|         630          |     NaN     |       1       |       *        |
|         631          |     NaN     |       1       |       *        |
|         632          |     NaN     |       0       |       *        |
|         633          |     NaN     |       1       |       *        |
|         634          |     NaN     |       0       |       *        |
|         635          |     NaN     |       0       |       *        |
|         636          |     NaN     |       1       |       *        |
|         637          |     NaN     |       1       |       *        |
|         638          |     NaN     |       1       |       *        |
|         639          |     NaN     |       1       |       *        |
|         640          |     NaN     |       1       |       *        |
|         641          |     NaN     |       0       |       *        |
|         642          |     NaN     |       1       |       *        |
|         643          |     NaN     |       1       |       *        |
|         644          |     NaN     |       1       |       *        |
|         645          |     NaN     |       1       |       *        |
|         646          |     NaN     |       0       |       *        |
|         647          |     NaN     |       1       |       *        |
|         648          |     NaN     |       1       |       *        |
|         649          |     NaN     |       1       |       *        |
|         650          |     NaN     |       1       |       *        |
|         651          |     NaN     |       1       |       *        |
|         652          |     NaN     |       1       |       *        |
|         653          |     NaN     |       1       |       *        |
|         654          |     NaN     |       1       |       *        |
|         655          |     NaN     |       1       |       *        |
|         656          |     NaN     |       1       |       *        |
|         657          |     NaN     |       1       |       *        |
|         658          |     NaN     |       1       |       *        |
|         659          |     NaN     |       1       |       *        |
|         660          |     NaN     |       1       |       *        |
|         661          |     NaN     |       1       |       *        |
|         662          |     NaN     |       1       |       *        |
|         663          |     NaN     |       1       |       *        |
|         664          |     NaN     |       1       |       *        |
|         665          |     NaN     |       1       |       *        |
|         666          |     NaN     |       1       |       *        |
|         667          |     NaN     |       1       |       *        |
|         668          |     NaN     |       1       |       *        |
|         669          |     NaN     |       0       |       *        |
|         670          |     NaN     |       1       |       *        |
|         671          |     NaN     |       1       |       *        |
|         672          |     NaN     |       1       |       *        |
|         673          |     NaN     |       1       |       *        |
|         674          |     NaN     |       1       |       *        |
|         675          |     NaN     |       1       |       *        |
|         676          |     NaN     |       1       |       *        |
|         677          |     NaN     |       1       |       *        |
|         678          |     NaN     |       1       |       *        |
|         679          |     NaN     |       1       |       *        |
|         680          |     NaN     |       1       |       *        |
|         681          |     NaN     |       1       |       *        |
|         682          |     NaN     |       1       |       *        |
|         683          |     NaN     |       1       |       *        |
|         684          |     NaN     |       1       |       *        |
|         685          |     NaN     |       1       |       *        |
|         686          |     NaN     |       1       |       *        |
|         687          |     NaN     |       1       |       *        |
|         688          |     NaN     |       1       |       *        |
|         689          |     NaN     |       1       |       *        |
|         690          |     NaN     |       1       |       *        |
